Depth,Name,Statistic,#Cells
> ,Median : FITC-A = 627.918518066,628,
> ,Median : PE-Texas Red-A = 1556.407836914,1556,
> ,Specimen_001_G12_G12_069.fcs/Lymphocytes,100,9998
,Specimen_001_H1_H01_070.fcs,,10000
> ,Median : FITC-A = 5732.161621094,5732,
> ,Median : PE-Texas Red-A = 758.441589355,758,
> ,Specimen_001_H1_H01_070.fcs/Lymphocytes,100,9996
,Specimen_001_H2_H02_071.fcs,,10000
> ,Median : FITC-A = 2932.807128906,2933,
> ,Median : PE-Texas Red-A = 627.918518066,628,
> ,Specimen_001_H2_H02_071.fcs/Lymphocytes,100,9996
,Specimen_001_H3_H03_072.fcs,,10000
> ,Median : FITC-A = 702.829772949,703,
> ,Median : PE-Texas Red-A = 781.899719238,782,
> ,Specimen_001_H3_H03_072.fcs/Lymphocytes,99.9,9985
,Specimen_001_H4_H04_073.fcs,,10000
> ,Median : FITC-A = 7702.618652344,7703,
> ,Median : PE-Texas Red-A = 173.110229492,173,
> ,Specimen_001_H4_H04_073.fcs/Lymphocytes,100,9995
,Specimen_001_H5_H05_074.fcs,,10000
> ,Median : FITC-A = 6129.456054688,6129,
> ,Median : PE-Texas Red-A = 156.555145264,157,
> ,Specimen_001_H5_H05_074.fcs/Lymphocytes,100,9995
,Specimen_001_H6_H06_075.fcs,,10000
> ,Median : FITC-A = 3574.958984375,3575,
> ,Median : PE-Texas Red-A = 200.975891113,201,
> ,Specimen_001_H6_H06_075.fcs/Lymphocytes,99.9,9994
,Specimen_001_H7_H07_076.fcs,,10000
> ,Median : FITC-A = 5492.854003906,5493,
> ,Median : PE-Texas Red-A = 27.3309021,27.3,
> ,Specimen_001_H7_H07_076.fcs/Lymphocytes,100,9997
,Specimen_001_H8_H08_077.fcs,,10000
> ,Median : FITC-A = 5492.854003906,5493,
> ,Median : PE-Texas Red-A = 21.881809235,21.9,
> ,Specimen_001_H8_H08_077.fcs/Lymphocytes,100,9998
,Specimen_001_H9_H09_078.fcs,,10000
> ,Median : FITC-A = 1242.309204102,1242,
> ,Median : PE-Texas Red-A = 26.591812134,26.6,
> ,Specimen_001_H9_H09_078.fcs/Lymphocytes,99.9,9992
,Specimen_001_H10_H10_079.fcs,,10000
> ,Median : FITC-A = 2776.333740234,2776,
> ,Median : PE-Texas Red-A = 96.455863953,96.5,
> ,Specimen_001_H10_H10_079.fcs/Lymphocytes,100,9995
,Specimen_001_H11_H11_080.fcs,,10000
> ,Median : FITC-A = 2250.051269531,2250,
> ,Median : PE-Texas Red-A = 90.755058289,90.8,
> ,Specimen_001_H11_H11_080.fcs/Lymphocytes,100,9997
,Specimen_001_H12_H12_081.fcs,,10000
> ,Median : FITC-A = 988.583251953,989,
> ,Median : PE-Texas Red-A = 104.088020325,104,
> ,Specimen_001_H12_H12_081.fcs/Lymphocytes,100,9996
